fold,accuracy,sensitivity,specificity,precision,roc_auc,gmean,tp / fn /tn / fp
0,99.46,86.36,100.0,100.0,95.81,92.93,19 / 3 / 537 / 0
1,99.28,82.35,99.81,93.33,99.32,90.66,14 / 3 / 541 / 1
2,99.64,91.3,100.0,100.0,99.86,95.55,21 / 2 / 536 / 0
3,99.11,85.71,100.0,100.0,97.39,92.58,30 / 5 / 524 / 0
4,99.11,90.91,99.62,93.75,99.41,95.16,30 / 3 / 524 / 2
5,98.57,75.0,99.26,75.0,99.63,86.28,12 / 4 / 539 / 4
6,99.28,90.91,99.63,90.91,95.44,95.17,20 / 2 / 535 / 2
7,99.46,90.91,99.81,95.24,98.18,95.26,20 / 2 / 536 / 1
8,99.64,94.74,99.81,94.74,99.98,97.24,18 / 1 / 539 / 1
9,99.46,96.3,99.62,92.86,99.97,97.95,26 / 1 / 530 / 2
Average,99.3,88.45,99.76,93.58,98.5,93.88, 
