fold,accuracy,sensitivity,specificity,precision,roc_auc,gmean,tp / fn /tn / fp
0,99.28,86.36,99.81,95.0,95.6,92.85,19 / 3 / 536 / 1
1,99.28,94.12,99.45,84.21,99.23,96.75,16 / 1 / 539 / 3
2,99.64,91.3,100.0,100.0,99.87,95.55,21 / 2 / 536 / 0
3,99.28,94.29,99.62,94.29,98.42,96.92,33 / 2 / 522 / 2
4,98.75,87.88,99.43,90.62,98.65,93.48,29 / 4 / 523 / 3
5,99.46,87.5,99.82,93.33,99.97,93.46,14 / 2 / 542 / 1
6,98.75,86.36,99.26,82.61,95.41,92.59,19 / 3 / 533 / 4
7,99.82,95.45,100.0,100.0,95.96,97.7,21 / 1 / 537 / 0
8,99.64,100.0,99.63,90.48,99.95,99.81,19 / 0 / 538 / 2
9,99.64,100.0,99.62,93.1,99.97,99.81,27 / 0 / 530 / 2
Average,99.36,92.33,99.66,92.36,98.3,95.89, 
