fold,accuracy,sensitivity,specificity,precision,roc_auc,gmean,tp / fn /tn / fp
0,98.75,77.0,100.0,89.0,88.45,87.75,17 / 5 / 535 / 2
1,99.46,88.0,100.0,94.0,94.03,93.81,15 / 2 / 541 / 1
2,99.46,96.0,100.0,92.0,97.64,97.98,22 / 1 / 534 / 2
3,99.28,89.0,100.0,100.0,94.29,94.34,31 / 4 / 524 / 0
4,99.11,88.0,100.0,97.0,93.84,93.81,29 / 4 / 525 / 1
5,99.11,75.0,100.0,92.0,87.41,86.6,12 / 4 / 542 / 1
6,99.46,91.0,100.0,95.0,95.36,95.39,20 / 2 / 536 / 1
7,99.64,95.0,100.0,95.0,97.63,97.47,21 / 1 / 536 / 1
8,99.11,95.0,99.0,82.0,97.0,96.98,18 / 1 / 536 / 4
9,99.28,100.0,99.0,87.0,99.62,99.5,27 / 0 / 528 / 4
Average,99.27,89.4,99.8,92.3,94.53,94.36, 
