fold,accuracy,sensitivity,specificity,precision,roc_auc,gmean,tp / fn /tn / fp
0,89.35,80.47,92.14,76.3,92.2,86.11,103 / 25 / 375 / 32
1,90.47,79.31,93.56,77.31,92.1,86.14,92 / 24 / 392 / 27
2,91.03,74.42,96.3,86.49,90.29,84.66,96 / 33 / 391 / 15
3,91.4,70.49,97.58,89.58,91.1,82.94,86 / 36 / 403 / 10
4,91.03,69.34,98.49,94.06,91.82,82.64,95 / 42 / 392 / 6
5,89.35,76.87,93.52,79.84,91.16,84.78,103 / 31 / 375 / 26
6,82.8,81.75,83.13,59.88,90.34,82.44,103 / 23 / 340 / 69
7,92.15,75.44,96.67,86.0,91.52,85.4,86 / 28 / 407 / 14
8,83.55,81.89,84.07,61.54,89.26,82.97,104 / 23 / 343 / 65
9,91.01,66.38,97.85,89.53,88.34,80.59,77 / 39 / 409 / 9
Average,89.21,75.64,93.33,80.05,90.81,83.87, 
