fold,accuracy,sensitivity,specificity,precision,roc_auc,gmean,tp / fn /tn / fp
0,93.27,78.91,97.79,91.82,91.27,87.84,101 / 27 / 398 / 9
1,92.9,75.0,97.85,90.62,92.33,85.67,87 / 29 / 410 / 9
2,86.92,79.07,89.41,70.34,88.46,84.08,102 / 27 / 363 / 43
3,84.86,83.61,85.23,62.58,91.64,84.41,102 / 20 / 352 / 61
4,91.21,72.99,97.49,90.91,90.0,84.36,100 / 37 / 388 / 10
5,91.96,71.64,98.75,95.05,89.68,84.11,96 / 38 / 396 / 5
6,88.41,80.95,90.71,72.86,92.54,85.69,102 / 24 / 371 / 38
7,83.93,86.84,83.14,58.24,91.73,84.97,99 / 15 / 350 / 71
8,90.65,64.57,98.78,94.25,91.04,79.86,82 / 45 / 403 / 5
9,71.35,83.62,67.94,41.99,87.63,75.38,97 / 19 / 284 / 134
Average,87.55,77.72,90.71,76.87,90.63,83.64, 
