fold,accuracy,sensitivity,specificity,precision,roc_auc,gmean,tp / fn /tn / fp
0,91.4,78.0,96.0,85.0,86.85,86.53,100 / 28 / 389 / 18
1,90.65,78.0,94.0,79.0,85.93,85.63,90 / 26 / 395 / 24
2,84.86,73.0,89.0,67.0,80.77,80.6,94 / 35 / 360 / 46
3,88.6,73.0,93.0,76.0,83.09,82.4,89 / 33 / 385 / 28
4,91.21,75.0,97.0,89.0,85.96,85.29,103 / 34 / 385 / 13
5,91.96,71.0,99.0,96.0,84.95,83.84,95 / 39 / 397 / 4
6,89.35,77.0,93.0,78.0,85.07,84.62,97 / 29 / 381 / 28
7,90.47,77.0,94.0,78.0,85.63,85.08,88 / 26 / 396 / 25
8,86.92,74.0,91.0,72.0,82.47,82.06,94 / 33 / 371 / 37
9,79.78,79.0,80.0,52.0,79.61,79.5,92 / 24 / 334 / 84
Average,88.52,75.5,92.6,77.2,84.03,83.56, 
