fold,accuracy,sensitivity,specificity,precision,roc_auc,gmean,tp / fn /tn / fp
0,84.51,70.91,90.78,78.0,91.62,80.23,117 / 48 / 325 / 33
1,86.04,84.43,86.8,75.0,94.31,85.61,141 / 26 / 309 / 47
2,88.72,79.2,92.51,80.82,94.79,85.6,118 / 31 / 346 / 28
3,87.93,89.68,87.19,74.73,95.13,88.43,139 / 16 / 320 / 47
4,86.97,83.54,88.55,76.97,94.13,86.01,137 / 27 / 317 / 41
5,89.08,87.74,89.65,78.16,95.1,88.69,136 / 19 / 329 / 38
6,88.89,74.17,94.88,85.5,95.16,83.89,112 / 39 / 352 / 19
7,88.51,82.61,91.14,80.61,94.61,86.77,133 / 28 / 329 / 32
8,88.7,80.67,91.94,80.13,95.41,86.12,121 / 29 / 342 / 30
9,85.82,87.42,85.17,70.59,94.28,86.29,132 / 19 / 316 / 55
Average,87.52,82.04,89.86,78.05,94.45,85.76, 
