fold,accuracy,sensitivity,specificity,precision,roc_auc,gmean,tp / fn /tn / fp
0,86.04,75.0,91.0,79.0,83.11,82.61,124 / 41 / 326 / 32
1,88.91,78.0,94.0,86.0,86.13,85.63,131 / 36 / 334 / 22
2,87.0,83.0,89.0,74.0,85.86,85.95,124 / 25 / 331 / 43
3,85.82,81.0,88.0,74.0,84.51,84.43,126 / 29 / 322 / 45
4,83.33,86.0,82.0,69.0,84.05,83.98,141 / 23 / 294 / 64
5,85.82,88.0,85.0,71.0,86.38,86.49,136 / 19 / 312 / 55
6,88.89,79.0,93.0,82.0,85.9,85.71,119 / 32 / 345 / 26
7,89.08,81.0,93.0,83.0,86.77,86.79,130 / 31 / 335 / 26
8,89.66,85.0,92.0,80.0,88.17,88.43,127 / 23 / 341 / 31
9,90.23,81.0,94.0,85.0,87.43,87.26,122 / 29 / 349 / 22
Average,87.48,81.7,90.1,78.3,85.83,85.73, 
